trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
103,08:40:00,08:40:00,359350,5,,0,,,,16362.2418798874,1
103,08:43:00,08:43:00,349705,6,,0,,,,17896.942102624,1
104,09:00:00,09:00:00,360379,0,,0,,,,0,1
104,09:03:00,09:03:00,360107,1,,0,,,,1440.99212539003,1
104,09:08:00,09:08:00,360133,2,,0,,,,3682.14572994095,1
104,09:17:00,09:17:00,349795,3,,0,,,,7217.43938927969,1
104,09:22:00,09:22:00,349823,4,,0,,,,9221.42027469592,1
104,09:40:00,09:40:00,359350,5,,0,,,,16362.2418798874,1
104,09:43:00,09:43:00,349705,6,,0,,,,17896.942102624,1
105,10:00:00,10:00:00,360379,0,,0,,,,0,1
105,10:03:00,10:03:00,360107,1,,0,,,,1440.99212539003,1
105,10:08:00,10:08:00,360133,2,,0,,,,3682.14572994095,1
105,10:17:00,10:17:00,349795,3,,0,,,,7217.43938927969,1
105,10:22:00,10:22:00,349823,4,,0,,,,9221.42027469592,1
105,10:40:00,10:40:00,359350,5,,0,,,,16362.2418798874,1
105,10:43:00,10:43:00,349705,6,,0,,,,17896.942102624,1
106,11:00:00,11:00:00,360379,0,,0,,,,0,1
106,11:03:00,11:03:00,360107,1,,0,,,,1440.99212539003,1
106,11:08:00,11:08:00,360133,2,,0,,,,3682.14572994095,1
106,11:17:00,11:17:00,349795,3,,0,,,,7217.43938927969,1
106,11:22:00,11:22:00,349823,4,,0,,,,9221.42027469592,1
106,11:40:00,11:40:00,359350,5,,0,,,,16362.2418798874,1
106,11:43:00,11:43:00,349705,6,,0,,,,17896.942102624,1
107,12:00:00,12:00:00,360379,0,,0,,,,0,1
107,12:03:00,12:03:00,360107,1,,0,,,,1440.99212539003,1
107,12:08:00,12:08:00,360133,2,,0,,,,3682.14572994095,1
107,12:17:00,12:17:00,349795,3,,0,,,,7217.43938927969,1
107,12:22:00,12:22:00,349823,4,,0,,,,9221.42027469592,1
107,12:40:00,12:40:00,359350,5,,0,,,,16362.2418798874,1
107,12:43:00,12:43:00,349705,6,,0,,,,17896.942102624,1
108,13:00:00,13:00:00,360379,0,,0,,,,0,1
108,13:03:00,13:03:00,360107,1,,0,,,,1440.99212539003,1
108,13:08:00,13:08:00,360133,2,,0,,,,3682.14572994095,1
108,13:17:00,13:17:00,349795,3,,0,,,,7217.43938927969,1
108,13:22:00,13:22:00,349823,4,,0,,,,9221.42027469592,1
108,13:40:00,13:40:00,359350,5,,0,,,,16362.2418798874,1
108,13:43:00,13:43:00,349705,6,,0,,,,17896.942102624,1
109,14:00:00,14:00:00,360379,0,,0,,,,0,1
109,14:03:00,14:03:00,360107,1,,0,,,,1440.99212539003,1
109,14:08:00,14:08:00,360133,2,,0,,,,3682.14572994095,1
109,14:17:00,14:17:00,349795,3,,0,,,,7217.43938927969,1
109,14:22:00,14:22:00,349823,4,,0,,,,9221.42027469592,1
109,14:40:00,14:40:00,359350,5,,0,,,,16362.2418798874,1
109,14:43:00,14:43:00,349705,6,,0,,,,17896.942102624,1
11,06:01:00,06:01:00,1355358,0,,0,,,,7768.80220891487,1
11,06:05:00,06:05:00,349823,1,,0,,,,10182.4846050251,1
11,06:10:00,06:10:00,350125,2,,0,,,,12678.3047182442,1
11,06:16:00,06:16:00,475003,3,,0,,,,14604.4842193026,0
11,06:24:00,06:24:00,474874,4,,0,,,,18099.200723863,1
11,06:30:00,06:30:00,351095,5,,0,,,,19186.1391351399,1
11,06:37:00,06:37:00,363327,6,,0,,,,21812.4500586889,1
11,06:44:00,06:44:00,363387,7,,0,,,,27601.1899813617,1
11,06:48:00,06:48:00,1360603,8,,0,,,,29423.2613862693,1
110,15:00:00,15:00:00,360379,0,,0,,,,0,1
110,15:03:00,15:03:00,360107,1,,0,,,,1440.99212539003,1
110,15:08:00,15:08:00,360133,2,,0,,,,3682.14572994095,1
110,15:17:00,15:17:00,349795,3,,0,,,,7217.43938927969,1
110,15:22:00,15:22:00,349823,4,,0,,,,9221.42027469592,1
110,15:40:00,15:40:00,359350,5,,0,,,,16362.2418798874,1
110,15:43:00,15:43:00,349705,6,,0,,,,17896.942102624,1
111,16:00:00,16:00:00,360379,0,,0,,,,0,1
111,16:03:00,16:03:00,360107,1,,0,,,,1440.99212539003,1
111,16:08:00,16:08:00,360133,2,,0,,,,3682.14572994095,1
111,16:17:00,16:17:00,349795,3,,0,,,,7217.43938927969,1
111,16:22:00,16:22:00,349823,4,,0,,,,9221.42027469592,1
111,16:40:00,16:40:00,359350,5,,0,,,,16362.2418798874,1
111,16:43:00,16:43:00,349705,6,,0,,,,17896.942102624,1
112,17:00:00,17:00:00,360379,0,,0,,,,0,1
112,17:03:00,17:03:00,360107,1,,0,,,,1440.99212539003,1
112,17:08:00,17:08:00,360133,2,,0,,,,3682.14572994095,1
112,17:17:00,17:17:00,349795,3,,0,,,,7217.43938927969,1
112,17:22:00,17:22:00,349823,4,,0,,,,9221.42027469592,1
112,17:40:00,17:40:00,359350,5,,0,,,,16362.2418798874,1
112,17:43:00,17:43:00,349705,6,,0,,,,17896.942102624,1
113,18:00:00,18:00:00,360379,0,,0,,,,0,1
113,18:03:00,18:03:00,360107,1,,0,,,,1440.99212539003,1
113,18:08:00,18:08:00,360133,2,,0,,,,3682.14572994095,1
113,18:17:00,18:17:00,349795,3,,0,,,,7217.43938927969,1
113,18:22:00,18:22:00,349823,4,,0,,,,9221.42027469592,1
113,18:40:00,18:40:00,359350,5,,0,,,,16362.2418798874,1
113,18:43:00,18:43:00,349705,6,,0,,,,17896.942102624,1
114,19:00:00,19:00:00,360379,0,,0,,,,0,1
114,19:03:00,19:03:00,360107,1,,0,,,,1440.99212539003,1
114,19:08:00,19:08:00,360133,2,,0,,,,3682.14572994095,1
114,19:17:00,19:17:00,349795,3,,0,,,,7217.43938927969,1
114,19:22:00,19:22:00,349823,4,,0,,,,9221.42027469592,1
114,19:40:00,19:40:00,359350,5,,0,,,,16362.2418798874,1
114,19:43:00,19:43:00,349705,6,,0,,,,17896.942102624,1
115,05:56:00,05:56:00,474970,0,,0,,,,5051.98432869058,1
115,06:05:00,06:05:00,360641,1,,0,,,,9620.40023610338,1
115,06:09:00,06:09:00,474966,2,,0,,,,11731.9068381279,1
115,06:20:00,06:20:00,474958,3,,0,,,,16024.9431003115,1
116,06:45:00,06:45:00,351095,0,,0,,,,0,1
116,06:48:00,06:48:00,362196,1,,0,,,,855.963307005469,1
116,06:53:00,06:53:00,358569,2,,0,,,,1715.00516652503,1
116,07:01:00,07:01:00,474970,3,,0,,,,5051.98432869058,1
116,07:10:00,07:10:00,360641,4,,0,,,,9620.40023610338,1
116,07:14:00,07:14:00,474966,5,,0,,,,11731.9068381279,1
116,07:25:00,07:25:00,474958,6,,0,,,,16024.9431003115,1
117,07:45:00,07:45:00,351095,0,,0,,,,0,1
117,07:48:00,07:48:00,362196,1,,0,,,,855.963307005469,1
117,07:53:00,07:53:00,358569,2,,0,,,,1715.00516652503,1
117,08:01:00,08:01:00,474970,3,,0,,,,5051.98432869058,1
117,08:10:00,08:10:00,360641,4,,0,,,,9620.40023610338,1
117,08:14:00,08:14:00,474966,5,,0,,,,11731.9068381279,1
117,08:25:00,08:25:00,474958,6,,0,,,,16024.9431003115,1
118,08:45:00,08:45:00,351095,0,,0,,,,0,1
118,08:48:00,08:48:00,362196,1,,0,,,,855.963307005469,1
118,08:53:00,08:53:00,358569,2,,0,,,,1715.00516652503,1
118,09:01:00,09:01:00,474970,3,,0,,,,5051.98432869058,1
118,09:10:00,09:10:00,360641,4,,0,,,,9620.40023610338,1
118,09:14:00,09:14:00,474966,5,,0,,,,11731.9068381279,1
118,09:25:00,09:25:00,474958,6,,0,,,,16024.9431003115,1
119,09:45:00,09:45:00,351095,0,,0,,,,0,1
119,09:48:00,09:48:00,362196,1,,0,,,,855.963307005469,1
119,09:53:00,09:53:00,358569,2,,0,,,,1715.00516652503,1
119,10:01:00,10:01:00,474970,3,,0,,,,5051.98432869058,1
119,10:10:00,10:10:00,360641,4,,0,,,,9620.40023610338,1
119,10:14:00,10:14:00,474966,5,,0,,,,11731.9068381279,1
119,10:25:00,10:25:00,474958,6,,0,,,,16024.9431003115,1
12,07:00:00,07:00:00,358424,0,,0,,,,8.41303031514162,1
12,07:04:00,07:04:00,359119,1,,0,,,,1186.59241786596,1
12,07:11:00,07:11:00,475000,2,,0,,,,4521.10176333914,1
12,07:17:00,07:17:00,1355358,3,,0,,,,7768.80220891487,1
12,07:26:00,07:26:00,349823,4,,0,,,,10182.4846050251,1
12,07:31:00,07:31:00,350125,5,,0,,,,12678.3047182442,1
12,07:37:00,07:37:00,475003,6,,0,,,,14604.4842193026,0
12,07:45:00,07:45:00,474874,7,,0,,,,18099.200723863,1
12,07:49:00,07:49:00,351095,8,,0,,,,19186.1391351399,1
12,07:56:00,07:56:00,363327,9,,0,,,,21812.4500586889,1
