stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
359218,,"Meadows @ Olive Merced Meadows Apts","",37.319094,-120.488876,,,0,,,0,,
359228,,"Loughborough @village Meadow apts (eastbound)","",37.323349,-120.489351,,,0,,,0,,
359240,,"Loughborough @ Laurel Glen Apts (eastbound)","",37.323157,-120.481455,,,0,,,0,,
359255,,"M St @ Village Apts (northbound)","",37.324447,-120.478255,,,0,,,0,,
359263,,"M St @ Donna (northbound)","",37.329539,-120.478131,,,0,,,0,,
359350,,"G St @ Yosemite (southbound)","",37.331194,-120.46917,,,0,,,0,,
359360,,"G St @ Columbia (southbound)","",37.324863,-120.469326,,,0,,,0,,
359371,,"G St @ Brookdale (southbound)","",37.321788,-120.469406,,,0,,,0,,
359379,,"G St @ Merced High School North Campus","",37.319063,-120.469456,,,0,,,0,,
359397,,"G St @ Park Av","",37.312176,-120.46956,,,0,,,0,,
359403,,"G St @ N. Bear Creek Dr (southbound)","",37.310615,-120.469567,,,0,,,0,,
359439,,"24th @ MLK/Amtrak (eastbound)","",37.306897,-120.476784,,,0,,,0,,
359459,,"21st @ G St (eastbound)","",37.302424,-120.473033,,,0,,,0,,
359468,,"21st @ Glen (eastbound)","",37.299334,-120.464624,,,0,,,0,,
359472,,"21st @ Cherry (eastbound)","",37.297508,-120.45964600000002,,,0,,,0,,
359478,,"21st @ Yosemite Pkwy (eastbound)","",37.295699,-120.454718,,,0,,,0,,
359484,,"Yosemite Pkwy @ Murthella (westbound)","",37.295278,-120.455233,,,0,,,0,,
359487,,"Yosemite Pkwy @ Jean (westbound)","",37.295285,-120.458774,,,0,,,0,,
359492,,"Yosemite Pkwy @ Laurel (westbound)","",37.295289,-120.464079,,,0,,,0,,
359551,,"HSA","",37.297768,-120.519354,,,0,,,0,,
359568,,"Merced County Workforce Dev (eastbound)","",37.2954,-120.511,,,0,,,0,,
359578,,"West Av @ 4th (southbound)","",37.2938,-120.505775,,,0,,,0,,
359582,,"West Av @ 1st (southbound)","",37.289787,-120.50582300000002,,,0,,,0,,
359599,,"Q St @ 3rd (northbound)","",37.2899,-120.49900000000002,,,0,,,0,,
359606,,"4th @ P St (eastbound)","",37.2902,-120.497,,,0,,,0,,
359612,,"N St @ Childs (Golden Valley Health Centers)","",37.28854,-120.49444800000003,,,0,,,0,,
359639,,"M St @ Childs (northbound)","",37.288432,-120.492506,,,0,,,0,,
359645,,"M St @ 8th (northbound)","",37.2928,-120.49,,,0,,,0,,
359655,,"M St @ 13th/Sacred Heart (northbound)","",37.297466,-120.487397,,,0,,,0,,
359667,,"15th @ O St (westbound)","",37.300592,-120.488001,,,0,,,0,,
359694,,"M St @ 19th (northbound)","",37.303742,-120.48373200000005,,,0,,,0,,
359699,,"M St @ 22nd/County Offices (northbound)","",37.30677,-120.481964,,,0,,,0,,
359707,,"M St @ 26th (northbound)","",37.310704,-120.479693,,,0,,,0,,
359775,,"M St @ Villages Apts (southbound)","",37.324522,-120.478397,,,0,,,0,,
359799,,"M St @ 26th (southbound)","",37.310419,-120.480079,,,0,,,0,,
359807,,"M St @ 22nd/Merced County Offices (southbound)","",37.306748,-120.48219,,,0,,,0,,
359814,,"M St @ Main (southbound)","",37.30231,-120.484738,,,0,,,0,,
359853,,"M St @ 12th (southbound)","",37.2969,-120.488,,,0,,,0,,
359863,,"M St @ 8th (southbound)","",37.292619,-120.490279,,,0,,,0,,
359870,,"M St @ Childs (southbound)","",37.288449,-120.49268899999998,,,0,,,0,,
359951,,"Valley Community School (westbound)","",37.295483,-120.508427,,,0,,,0,,
359980,,"G St @ Gerard (northbound)","",37.281145,-120.482069,,,0,,,0,,
359983,,"G St @ Carmen (northbound)","",37.282871,-120.482069,,,0,,,0,,
360019,,"COVE at 13th & D St (eastbound)","",37.292566,-120.473513,,,0,,,0,,
360107,,"G St @ East Campus (northbound)","",37.300568,-120.474653,,,0,,,0,,
360110,,"G St @ 21st (northbound)","",37.302488,-120.473545,,,0,,,0,,
360113,,"G St @ 23rd (northbound)","",37.304453,-120.472394,,,0,,,0,,
360122,,"G St @ N. Bear Creek Dr (northbound)","",37.310305,-120.469323,,,0,,,0,,
360133,,"G St @ Olive (northbound)","",37.319702,-120.469143,,,0,,,0,,
360279,,"G St @ Alexander (southbound)","",37.314782,-120.469508,,,0,,,0,,
360289,,"G St @ 26th (southbound)","",37.308355,-120.470222,,,0,,,0,,
360295,,"G St @ 23rd (southbound)","",37.304481,-120.472593,,,0,,,0,,
360298,,"G St @ 21st (southbound)","",37.302488,-120.473738,,,0,,,0,,
360302,,"G St @ 18th (southbound)","",37.300032,-120.475141,,,0,,,0,,
360350,,"G St @ Skylark (southbound)","",37.28591,-120.482182,,,0,,,0,,
360366,,"Carmen @ Las Brisas","",37.282677,-120.477453,,,0,,,0,,
360373,,"Gerard @ La Mesa","",37.280829,-120.478317,,,0,,,0,,
360379,,"Transpo (small)","",37.301571,-120.487346,,,0,,,0,,
360394,,"O St @ 15th (southbound)","",37.301011,-120.489179,,,0,,,0,,
360410,,"13th @ G St (eastbound)","",37.294502,-120.478968,,,0,,,0,,
360414,,"G St @ 11th (southbound)","",37.2927,-120.479,,,0,,,0,,
360632,,"Yosemite Pkwy @ Carol (eastbound)","",37.295151,-120.455,,,0,,,0,,
360634,,"Childs @ Manzanita/Golden Valley HS (eastbound)","",37.2878,-120.44799999999998,,,0,,,0,,
360635,,"Childs @ Watertown (eastbound)","",37.2878,-120.445,,,0,,,0,,
360637,,"Gerard @ Coffee/Pioneer Elementary (westbound)","",37.2805,-120.435,,,0,,,0,,
360638,,"Gerard @ Laughlin (westbound)","",37.2806,-120.44,,,0,,,0,,
360639,,"Villa Estates MHP (westbound)","",37.2806,-120.44299999999998,,,0,,,0,,
360640,,"Gerard @ Parsons/Cal Storage","",37.2806,-120.44600000000004,,,0,,,0,,
360641,,"Parsons @ The Grove","",37.2827,-120.449,,,0,,,0,,
360642,,"Parsons @ Childs/ Holiday Inn (northbound)","",37.287172,-120.451595,,,0,,,0,,
360643,,"Parsons @ Golden Valley HS (northbound)","",37.288991,-120.451576,,,0,,,0,,
360657,,"13th @ G St (westbound)","",37.294677,-120.478946,,,0,,,0,,
360660,,"O St @ 15th (northbound)","",37.301,-120.489,,,0,,,0,,
360836,,"K St @ 23rd (southbound)","",37.307128,-120.478314,,,0,,,0,,
360838,,"Fulkerth Shopping Center","",37.5074,-120.873,,,0,,,0,,
361729,,"Main @ C St/Livingston City Hall (southbound)","",37.384474,-120.723343,,,0,,,0,,
361730,,"4th @ El Capitan (northbound)","",37.4335,-120.776,,,0,,,0,,
361735,,"Center @ Walnut/Winton Library (southbound)","",37.389165,-120.61483,,,0,,,0,,
361738,,"Center @ Walnut/Winton Library (northbound)","",37.389305,-120.614702,,,0,,,0,,
361740,,"Winton @ Doris/Winton PO (southbound)","",37.380904,-120.613698,,,0,,,0,,
361742,,"Winton @ Fruitland/Atwater HS (southbound)","",37.363749,-120.61402,,,0,,,0,,
361744,,"Bellevue @ Winton / SaveMart (eastbound)","",37.360346,-120.613102,,,0,,,0,,
361745,,"Bellevue @ 5th (eastbound)","",37.3604,-120.608,,,0,,,0,,
361746,,"Bellevue @ Redwood (eastbound)","",37.3604,-120.602,,,0,,,0,,
361748,,"Bellevue @ Constitution (eastbound)","",37.360406,-120.590755,,,0,,,0,,
361749,,"Bellevue @ Bellevue Elementary (eastbound)","",37.360445,-120.583583,,,0,,,0,,
361750,,"Bellevue @ Secretariat (eastbound)","",37.360411,-120.579275,,,0,,,0,,
361755,,"Hwy 59 @ Riviera Holiday Mobile Estates (northbound)","",37.311578,-120.505064,,,0,,,0,,
361756,,"Beachwood @ Oakland (northbound)","",37.3212,-120.52800000000002,,,0,,,0,,
361758,,"Buchach @ Bellevue (southbound)","",37.361449,-120.576791,,,0,,,0,,
361759,,"Bellevue @ Secretariat (westbound)","",37.360581,-120.578671,,,0,,,0,,
361760,,"Bellevue @ Bellevue Elementary (westbound)","",37.360573,-120.584607,,,0,,,0,,
361762,,"Bellevue @ Constitution/Osborn Park (westbound)","",37.360546,-120.591541,,,0,,,0,,
361763,,"Bellevue @ Brownell (westbound)","",37.360534,-120.593914,,,0,,,0,,
361764,,"Bellevue @ Redwood (westbound)","",37.3605,-120.602,,,0,,,0,,
361765,,"Bellevue @ 5th (westbound)","",37.3605,-120.608,,,0,,,0,,
361766,,"Bellevue @ Winton (westbound)","",37.3605,-120.612408,,,0,,,0,,
361767,,"Winton @ Bellevue/SaveMart (northbound)","",37.361447,-120.613859,,,0,,,0,,
361768,,"Winton @ Fruitland/Atwater HS (northbound)","",37.363881,-120.61379,,,0,,,0,,
361770,,"Winton @ Doris/Winton PO (northbound)","",37.380917,-120.613403,,,0,,,0,,
361771,,"Planada/Golden Valley Clinic (to Merced)","",37.2905,-120.321,,,0,,,0,,
361772,,"Sutter @ El Mercado (to Merced)","",37.2924,-120.321,,,0,,,0,,
361779,,"Jefferson @ Le Grand/Community Ctr","",37.2288,-120.252,,,0,,,0,,
361781,,"Planada/Golden Valley Clinic (to Le Grand)","",37.2908,-120.321,,,0,,,0,,
362196,,"K St @ 18th/ MCAG (northbound)","",37.301998,-120.481098,,,0,,,0,,
362197,,"K St @ 21st (northbound)","",37.304635,-120.479583,,,0,,,0,,
362198,,"UC Merced Parking Lot (Merced College)","",37.338978,-120.476528,,,0,,,0,,
362199,,"Yosemite Av @ Paulson (eastbound)","",37.332085,-120.460488,,,0,,,0,,
362200,,"Yosemite Av @ Parsons (eastbound)","",37.332081,-120.451704,,,0,,,0,,
362202,,"Yosemite Ave @ Perch (eastbound)","",37.332051,-120.438623,,,0,,,0,,
362206,,"Yosemite @ Perch (westbound)","",37.33223,-120.437976,,,0,,,0,,
362207,,"Yosemite Av @ Chapparal (westbound)","",37.332155,-120.44849,,,0,,,0,,
362208,,"Yosemite Av @ Parsons (westbound)","",37.332209,-120.451435,,,0,,,0,,
362209,,"Atwater Transpo (Clockwise)","",37.345499,-120.60842200000002,,,0,,,0,,
